Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Reliability_A,Reliability_B1,Reliability_B2,LCOE_delivered,Curtailment_Annual_GWh,Energy_A_Annual_GWh,Energy_B1_Annual_GWh,Energy_B2_Annual_GWh,Energy_C_Annual_GWh,Total_Delivered_Annual_GWh,Objective_Value,Realized_Utilization
3.0,0.0,2.0,100.0,100.0,100.0,362.5136896792334,509.57785388479203,26.28,0.0,17.52,0.0,43.8,33.288,0.08333333333333333
2.0,2.0,1.0,100.0,100.0,100.0,362.5136896792334,509.6632558193542,17.52,17.52,8.76,0.0,43.8,33.288,0.08333333333333333
0.0,4.0,2.0,100.0,100.0,100.0,302.0947413993611,499.61669820461293,0.0,35.04,17.52,0.0,52.56,31.536,0.1
3.0,0.0,1.0,100.0,100.0,100.0,453.14211209904164,519.651853884792,26.28,0.0,8.76,0.0,35.04,29.784,0.06666666666666667
2.0,2.0,0.0,100.0,100.0,100.0,453.14211209904164,519.7372558193542,17.52,17.52,0.0,0.0,35.04,29.784,0.06666666666666667
0.0,4.0,1.0,100.0,100.0,100.0,362.5136896792334,509.69069820461306,0.0,35.04,8.76,0.0,43.8,28.032,0.08333333333333333
1.0,2.0,2.0,100.0,100.0,100.0,362.5136896792334,509.72933087408063,8.76,17.52,17.52,0.0,43.8,28.032,0.08333333333333333
3.0,0.0,0.0,100.0,100.0,100.0,604.1894827987222,529.725853884792,26.28,0.0,0.0,0.0,26.28,26.28,0.05
2.0,0.0,2.0,100.0,100.0,100.0,453.14211209904164,519.7372558193542,17.52,0.0,17.52,0.0,35.04,24.528,0.06666666666666667
1.0,2.0,1.0,100.0,100.0,100.0,453.14211209904164,519.8033308740806,8.76,17.52,8.76,0.0,35.04,24.528,0.06666666666666667
0.0,4.0,0.0,100.0,100.0,100.0,453.14211209904164,519.7646982046131,0.0,35.04,0.0,0.0,35.04,24.528,0.06666666666666667
1.0,2.0,0.0,100.0,100.0,100.0,604.1894827987222,529.8773308740807,8.76,17.52,0.0,0.0,26.28,21.024,0.05
2.0,0.0,1.0,100.0,100.0,100.0,604.1894827987222,529.8112558193542,17.52,0.0,8.76,0.0,26.28,21.024,0.05
0.0,2.0,2.0,100.0,100.0,100.0,453.14211209904164,519.7646982046131,0.0,17.52,17.52,0.0,35.04,19.272,0.06666666666666667
2.0,0.0,0.0,100.0,100.0,100.0,906.2842241980833,539.8852558193543,17.52,0.0,0.0,0.0,17.52,17.52,0.03333333333333333
1.0,0.0,2.0,100.0,100.0,100.0,604.1894827987222,529.8773308740807,8.76,0.0,17.52,0.0,26.28,15.768,0.05
0.0,2.0,1.0,100.0,100.0,100.0,604.1894827987222,529.8386982046129,0.0,17.52,8.76,0.0,26.28,15.768,0.05
0.0,2.0,0.0,100.0,100.0,100.0,906.2842241980833,539.912698204613,0.0,17.52,0.0,0.0,17.52,12.264,0.03333333333333333
1.0,0.0,1.0,100.0,100.0,100.0,906.2842241980833,539.9513308740807,8.76,0.0,8.76,0.0,17.52,12.264,0.03333333333333333
1.0,0.0,0.0,100.0,100.0,100.0,1812.5684483961666,550.0253308740806,8.76,0.0,0.0,0.0,8.76,8.76,0.016666666666666666
0.0,0.0,2.0,100.0,100.0,100.0,906.2842241980833,539.912698204613,0.0,0.0,17.52,0.0,17.52,7.008,0.03333333333333333
0.0,0.0,1.0,100.0,100.0,100.0,1812.5684483961666,549.9866982046129,0.0,0.0,8.76,0.0,8.76,3.504,0.016666666666666666
0.0,0.0,0.0,100.0,100.0,100.0,1000000.0,560.060698204613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
